insee,ville,lat,lon,date,tmin,tmax,pluie
303340,Uzes,44.0121279,4.4196718,2025-10-02,10.4,21.1,0.0
303340,Uzes,44.0121279,4.4196718,2025-10-03,7.2,22.1,0.0
303340,Uzes,44.0121279,4.4196718,2025-10-04,11.6,21.7,0.0
303340,Uzes,44.0121279,4.4196718,2025-10-05,8.9,18.5,0.0
303340,Uzes,44.0121279,4.4196718,2025-10-06,7.1,20.6,0.0
301890,Nimes,43.8374249,4.3600687,2025-09-30,13.2,25.6,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-01,13.5,24.6,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-02,12.2,23.1,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-03,10.6,23.4,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-04,13.9,23.4,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-05,11.6,19.7,0.0
301890,Nimes,43.8374249,4.3600687,2025-10-06,9.6,21.5,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-09-30,10.6,26.6,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-01,12.1,25.1,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-02,12.4,23.6,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-03,10.1,22.1,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-04,14.9,23.6,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-05,12.6,20.4,0.0
300030,Aigues Mortes,43.5661521,4.19154,2025-10-06,10.2,22.6,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-09-30,15.9,24.1,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-01,15.1,23.5,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-02,13.6,21.6,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-03,13.1,20.7,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-04,14.6,22.2,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-05,12.6,18.6,0.0
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-06,10.9,19.6,0.0
660530,Collioure,42.52505,3.0831554,2025-09-30,15.0,26.6,0.0
660530,Collioure,42.52505,3.0831554,2025-10-01,16.4,25.4,0.0
660530,Collioure,42.52505,3.0831554,2025-10-02,16.0,21.6,0.0
660530,Collioure,42.52505,3.0831554,2025-10-03,14.0,23.5,0.0
660530,Collioure,42.52505,3.0831554,2025-10-04,15.2,29.2,0.1
660530,Collioure,42.52505,3.0831554,2025-10-05,15.0,21.0,0.0
660530,Collioure,42.52505,3.0831554,2025-10-06,15.0,21.0,0.0
110690,Carcassonne,43.2130358,2.3491069,2025-09-30,13.2,23.4,0.0
110690,Carcassonne,43.2130358,2.3491069,2025-10-01,12.2,23.6,0.0
110690,Carcassonne,43.2130358,2.3491069,2025-10-02,9.2,24.5,0.0
110690,Carcassonne,43.2130358,2.3491069,2025-10-03,10.0,24.0,0.0
110690,Carcassonne,43.2130358,2.3491069,2025-10-04,13.6,24.6,1.4
110690,Carcassonne,43.2130358,2.3491069,2025-10-05,12.0,18.1,1.1
110690,Carcassonne,43.2130358,2.3491069,2025-10-06,11.1,19.7,0.2
091960,Ariege,42.9455368,1.4065544,2025-09-30,11.1,17.5,0.0
